code_metier;nom_usuel;adresse;code_postal;code_insee;code_dpt;code_reg;nom_commune;x_wgs84;y_wgs84
SSP00070330101;Confluent (ex P+R Pont Rousseau);RUE ROSA PARKS;44400;44143;44;52;REZE;-1.5477779;47.19306
SSP00070340101;Bourderies_Ilots B à D;RUE VICTOR HUGO;44400;44143;44;52;REZE;-1.5656296;47.18968
SSP00069220101;Ancienne décharge de Vincent Gâche;BEAULIEU TRIPODE;44300;44109;44;52;NANTES;-1.380478e-05;0.00042408425
SSP00059080101;SHELL DIRECT;qu jacques prevert prolonge;77100;77284;77;11;MEAUX;2.8839393;48.95169
SSP00020130101;ETABLISSEMENTS FIDELLE;759 Rte Du Circuit;31800;31585;31;76;VILLENEUVE DE RIVIERE;0.6947744;43.11077
SSP00020130101;ETABLISSEMENTS FIDELLE;759 Rte Du Circuit;31800;31483;31;76;SAINT GAUDENS;0.6947744;43.11077
SSP00085010102;MINES DE ROUEZ;r de l'abbaye;72140;72256;72;52;ROUEZ;-0.09566249;48.136707
SSP00060180101;SOFADI (ex LYLAM);19 r du martinet;77170;77053;77;11;BRIE COMTE ROBERT;2.613639;48.6893
SSP4473200201;LAFARGE CIMENTS;Usine de Frangey;89160;89223;89;27;LEZINNES;4.073365;47.78623
SSP4053000101;MONTANUY (ex BARBE);67B 67 bis rue du Maréchal Foch;64320;64132;64;75;BIZANOS;-0.33583456;43.291695
SSP00051630101;UNIMETAL NORMANDIE;111 Voie Portuaire;14120;14167;14;28;COLOMBELLES;-0.31395194;49.18925
SSP00125370101;DREUX;;61130;61196;61;28;LE GUE DE LA CHAINE;0.44700584;48.39054
SSP00072810401;ancienne concession de La Rieille;;83250;83071;83;93;LA LONDE LES MAURES;6.2489758;43.16884
SSP40024460101;Ancienne décharge;;;44154;44;52;SAINT BREVIN LES PINS;-2.162466;47.241783
SSP00020270101;TOTAL RAFFINAGE MARKETING (J.RIEUX);141 Av Jean Rieux;31500;31555;31;76;TOULOUSE;1.4672675;43.59283
SSP00057280101;Ancienne décharge du GRAND-LUCE;ROUTE DE CHALLES;72150;72143;72;52;LE GRAND LUCE;0.46166578;47.880386
SSP00055410101;ancienne décharge de Parcé-sur-Sarthe;PROCHE DE L''INTERSECTION ENTRE LES CR DE LA GRÉLIÈRE ET LA COURS DES GUIGNIERS;72300;72228;72;52;PARCE SUR SARTHE;-0.2087729;47.8598
SSP00027250101;Ancienne décharge du Beau Val;LE BEAU VAL;22210;22027;22;53;LE CAMBOUT;-2.6279614;48.077908
SSP00010270101;Ancienne décharge du Runio;DU RUNIO;56580;56047;56;53;CREDIN;-2.7795248;48.0395
SSP00022050101;Ancienne décharge du Parc Ty Gadic Bihan;PARC TY GADIC BIHAN;56320;56105;56;53;LANVENEGEN;-3.5391808;47.99429
SSP00063940101;Ancienne décharge de la Mariolle;LIEU DIT LA MARIOLLE;44540;44124;44;52;LE PIN;-1.1329783;47.612392
SSP00043950101;Ancienne décharge du Tertre Mérault;LE TERTRE MÉRAULT;56490;56129;56;53;MENEAC;-2.4510183;48.134697
SSP00016380101;Ancienne décharge des Burons;LES BURONS;35120;35246;35;53;ROZ LANDRIEUX;-1.8259836;48.538677
SSP00034170101;HLM emmaus;117 BOULEVARD SAINT-MICHEL;91150;91223;91;11;ETAMPES;2.1697097;48.450626
SSP00047180101;Ancienne décharge des Grands Marais;LES GRANDS MARAIS;22750;22302;22;53;SAINT JACUT DE LA MER;-2.1868446;48.592426
SSP00012620101;Ancienne décharge de Saint Nicolas;SAINT-NICOLAS;56590;56069;56;53;GROIX;-3.4803574;47.633503
SSP00016280101;Ancienne décharge de la Lande Coëtquen;LA LANDE COËTQUEN;35720;35225;35;53;PLESDER;-1.9216918;48.43224
SSP00071510101;Ancienne décharge municipale d'Assérac;ROUTE DE POMPAS;44410;44006;44;52;ASSERAC;-2.3756933;47.420586
SSP00053030101;Ancienne décharge de Coëtmeur;COËTMEUR;22600;22275;22;53;SAINT BARNABE;-2.6754186;48.141285
SSP00041740101;ACMR;CHEMIN DES PORTES;17430;17449;17;75;TONNAY CHARENTE;-0.9316223;45.953773
SSP00053310101;Ancienne décharge du Gueri;LE GUERI;22230;22148;22;53;MERILLAC;-2.386401;48.233154
SSP00016740101;Ancienne décharge des Landes;LES LANDES;22980;22342;22;53;TREBEDAN;-2.1707754;48.39433
SSP00057200101;Ancienne décharge de JOUE-EN-CHARNIE;ROUTE DU PLAN D''EAU;72540;72149;72;52;JOUE EN CHARNIE;-0.18848637;48.019295
SSP00042060101;SN PECI;3 RUE LOUIS HAREL DE LA NOÉ;22700;22168;22;53;PERROS GUIREC;-3.471656;48.804436
SSP00035100101;"TOTAL Relais ""Vauban""";;;59350;59;32;LILLE;3.043256;50.63601
SSP00046100101;Ancienne usine à gaz - Marignan - parcelle 68;"14, 8 Rue de Marignan";76500;76231;76;28;ELBEUF;1.017651;49.291924
SSP00042680101;Ancienne usine d'exploitation GDF;ROUTE DU BORDUSTAR;56360;56152;56;53;LE PALAIS;-3.173644;47.34607
SSP00043610101;Ancienne décharge de PARC ER HOET;PARC ER HOET;56550;56013;56;53;BELZ;-3.1858392;47.661648
SSP40712170101;dépot de ferrailles avec récupération;route Jonage (de);69150;69275;69;84;DECINES CHARPIEU;4.9824386;45.774254
SSP00054160101;Décharge Torteron;286 CHAMP DE RAGON;18320;18265;18;24;TORTERON;2.9856632;47.016525
SSP00024450101;ARCELORMITTAL REF LONGLAVILLE Confinement Ouest;;;54321;54;44;LONGLAVILLE;5.7922654;49.537094
SSP00060220101;Société BERGER;6 RUE DE LA COMMUNE DE PARIS;77370;77327;77;11;NANGIS;3.0344183;48.560696
SSP00024450101;ARCELORMITTAL REF LONGLAVILLE Confinement Ouest;;;54382;54;44;MONT SAINT MARTIN;5.7922654;49.537094
SSP00020670101;Ancienne décharge de Menez Hom;MENEZ HOM;29550;29256;29;53;SAINT NIC;-4.248547;48.209682
SSP00064940101;DAM;150 RUE ANDRE AMPÈRE;77550;77296;77;11;MOISSY CRAMAYEL;2.5679603;48.619205
SSP00010420101;Ancienne décharge de Portz Plouz;PORTZ PLOUZ;56170;56086;56;53;ILE D'HOUAT;-2.9750025;47.389774
SSP00031850101;Garage Malo;79 RUE ANATOLE LUCAS;95100;95018;95;11;ARGENTEUIL;2.244602;48.96189
SSP00058240101;Stériles miniers (fiche 85A-L.A.209);LE GRAND GENET;44190;44022;44;52;BOUSSAY;-1.1662635;47.05843
SSP00062020101;Ancienne décharge de Saint-Martin-Lars en-Sainte-Hermine;LA PETITE BOUGRELIÈRE;85210;85248;85;52;SAINT MARTIN LARS EN SAINTE HERMINE;-0.9658348;46.609306
SSP00036650101;DESMARQUOY;38 RUE KLÉBER;92000;92050;92;11;NANTERRE;2.1925676;48.90221
SSP00057910101;ancienne décharge de Neuvillalais;L''ETANG DE BÉCHET- RD21;72240;72216;72;52;NEUVILLALAIS;-0.0060093487;48.151043
SSP00057390101;Ancienne décharge de Saint Marceau;LA FOSSE- RN138;72170;72297;72;52;SAINT MARCEAU;0.12978691;48.184032
SSP00039950101;FUMISOL;CHEMIN D''IZARD;33810;33004;33;75;AMBES;-0.57379204;45.023438
SSP00036100101;SCHIEVER CARBURANT;25 RUE D''HÉRY. ZONE D''ACTIVITÉ DES OUCHES;89250;89382;89;27;SEIGNELAY;3.609277;47.903015
SSP00008270101;Ancienne décharge de Bellevue;BELLEVUE;35550;35045;35;53;BRUC SUR AFF;-2.0132568;47.797638
SSP00038730101;Gravure Moderne;40 AVENUE PAUL DOUMER;92500;92063;92;11;RUEIL MALMAISON;2.189332;48.883286
SSP00051590101;SAMETO;;;14137;14;28;CARPIQUET;-0.43287882;49.189686
SSP00055700101;Ancienne décharge de Champagné;LA CHESNAIE;72470;72054;72;52;CHAMPAGNE;0.33713925;48.023457
SSP00040070101;La Métallisation Générale;65 AVENUE DE L''HIPPODROME;33320;33162;33;75;EYSINES;-0.6289614;44.87438
SSP00063920101;Ancienne décharge de Lusanger;AUCUNE PRÉCISION;44590;44086;44;52;LUSANGER;-1.574114;47.676296
SSP00028090101;Chartier;ALLÉE DES CERISIERS;91310;91425;91;11;MONTLHERY;2.2639673;48.649754
SSP00058200101;Stériles miniers (fiche 85A-L.A.110);LA BRARDIÈRE;44190;44173;44;52;SAINT LUMINE DE CLISSON;-1.3581313;47.06324
SSP00003580101;BRABANT CHIMIE;ZI DES QUATRE VENTS;18000;18033;18;24;BOURGES;2.4407322;47.119354
SSP00038210102;CPO - Compagnie Pétrolière de l'Ouest;LES CARRIÈRES;16260;16085;16;75;CHASSENEUIL SUR BONNIEURE;0.4436037;45.83575
SSP00069120101;Ex-Lumina;19 RUE HENRI MARTIN;92700;92025;92;11;COLOMBES;2.2568877;48.916203
SSP00001640101;TOTAL RELAIS DE LA BIEVRE;81 AVENUE FRANÇOIS-VINCENT RASPAIL;94110;94003;94;11;ARCUEIL;2.3413415;48.807766
SSP00041640101;Ancienne usine à gaz;RUE DES DOMINICAINS;67160;67544;67;44;WISSEMBOURG;7.9471927;49.0348
SSP00059350101;Station-service Relais Grandpuits 1;D619;77720;77211;77;11;GRANDPUITS BAILLY CARROIS;2.9435353;48.58394
SSP00026590101;Ateliers Scheidt;RUE DE LA FORÊT;57550;57460;57;44;MERTEN;6.6622148;49.24308
SSP00070450101;STATION DE DEBALLASTAGE (GPMNSN);ECLUSE LOUIS JOUBERT;44600;44184;44;52;SAINT NAZAIRE;-2.1959093;47.277264
SSP00068960101;AGENCE D'EXPLOITATION D'EDF / GDF;CHEMIN DES CACHES VACHES;59830;59168;59;32;CYSOING;3.2117264;50.560726
SSP00056240101;Ancienne décharge de Ballon;CHEMIN RURAL N°17;72290;72023;72;52;BALLON;0.24344647;48.16012
SSP00024490101;Ancien stockage de déchets de marées noires du Sémaphore;LE SÉMAPHORE;22710;22166;22;53;PENVENAN;-3.3040032;48.830074
SSP00057880101;ancienne décharge de SAINT-CORNEILLE;LES LAVES;72460;72275;72;52;SAINT CORNEILLE;0.35693562;48.087406
SSP00045060101;Forage fuyard 3732 (Pechelrbonn);PARCELLE 378;67250;67474;67;44;SOULTZ SOUS FORETS;7.8745546;48.933163
SSP00024740101;Ancien stockage de déchets de marées noires de Port Ploumanac'h;PORT PLOUMANAC''H;22700;22168;22;53;PERROS GUIREC;-3.488213;48.825645
SSP00051260101;AS DECAPAGE;5 IMPASSE THIMONNIER;37300;37122;37;24;JOUE LES TOURS;0.62871444;47.33962
SSP00024100101;Ancien stockage de déchets de marées noires de Bon Abri;BON ABRI;22120;22081;22;53;HILLION;-2.651665;48.524708
SSP00042540101;Ancienne décharge de Quelnet;QUELNET;56130;56058;56;53;FEREL;-2.3349247;47.464073
SSP00054530101;Ancienne usine à gaz;RUE DE LA COSTE;15300;15138;15;84;MURAT;2.8631766;45.10917
SSP00072810401;ancienne concession de La Rieille;;83250;83043;83;93;COLLOBRIERES;6.2489758;43.16884
SSP00072810401;ancienne concession de La Rieille;;83610;83043;83;93;COLLOBRIERES;6.2489758;43.16884
SSP00054380101;Ancienne décharges des gravières - 3;OUEST DE L''ÉTANG DES COUARDIÈRES;35136;35281;35;53;SAINT JACQUES DE LA LANDE;-1.751967;48.077507
SSP5948660101;COMPAGNIE DE COGENERATION DE LA BRAYE;Site de Bessé sur Braye;41800;41020;41;24;BONNEVEAU;0.7475202;47.82483
SSP00002020101;Centre EDF-GDF Services Loiret;RUE ALBERT PREMIER;45100;45234;45;24;ORLEANS;1.9075357;47.90748
SSP00009400101;Ancienne décharge de Trapusset;TRAPUSSET;;35129;35;53;GUIPRY;-1.8518295;47.812756
SSP00026400101;Ancien site de la société KOCH;FAUBOURG DE VERGAVILLE;57260;57177;57;44;DIEUZE;6.7210135;48.82465
SSP00026540101;Cojeancy;RN3;57740;57413;57;44;LONGEVILLE LES SAINT AVOLD;6.6832795;49.10955
SSP00027460101;PROTECH'EST;ZI - 8 rue de Chenevières;54450;54061;54;44;BENAMENIL;6.6714497;48.567055
SSP00016510101;Ancienne décharge de Mézéhier;MÉZÉHIER;22290;22378;22;53;TREVEREC;-3.041334;48.65673
SSP00054310101;RAFFINEX;ROUTE DÉPARTEMENTALE 23;72430;72293;72;52;SAINT JEAN DU BOIS;-0.020302562;47.857067
SSP00008430101;Ancienne décharge de Linel;LINEL;35550;35328;35;53;SIXT SUR AFF;-2.0457616;47.809013
SSP00009560101;Ancienne décharge de Servignac;SEVRIGNAC;35470;35202;35;53;LA NOE BLANCHE;-1.7320095;47.809547
SSP00015750101;Ancienne décharge du Bodel;BODEL;35480;35176;35;53;MESSAC;-1.7909799;47.81428
SSP00052570101;Ancien dépôt d’ordures ménagères;ROUTE DE NIAFLES;53400;53084;53;52;CRAON;-0.9748205;47.84869
SSP00052900101;Ancienne décharge d'ordures ménagères;SAUVELOUP;53200;53014;53;52;AZE;-0.67623055;47.84008
SSP00050430101;Ancienne décharge de Vivy;RUE DU GUE D''ARCY;49680;49378;49;52;VIVY;-0.0707416;47.315197
SSP00052920101;Ancienne décharge d'ordures ménagères;LA CROIX BLANCHE;53200;53062;53;52;CHATEAU GONTIER;-0.76409084;47.84744
SSP00052940101;Ancienne décharge d'ordures ménagères;PETIT-COULONGE;53200;53101;53;52;FROMENTIERES;-0.6843453;47.84834
SSP00054900101;Ancienne décharge de La Lorière;LA LORIÈRE;35620;35106;35;53;ERCE EN LAMEE;-1.5467377;47.829075
SSP00055530101;Ancienne décharge du Bois de la Roche;LE BOIS DE LA ROCHE;72220;72350;72;52;TELOCHE;0.2771868;47.88
SSP00054540101;Dépôt minier;NADES;03450;03192;03;84;NADES;2.9637635;46.155926
SSP00021360101;UIOM Lillebonne (ancien site de l');RD 73- 76170 LILLEBONNE;76170;76384;76;28;LILLEBONNE;0.53688705;49.497204
SSP00055030101;Anciens établissements BOURBON;65 ET 67 AVENUE FÉLIX MIOCHE;03430;03315;03;84;VILLEFRANCHE D'ALLIER;2.853546;46.401054
SSP00054570101;Dépôt minier Les Roberts;;;63043;63;84;BLOT L'EGLISE;2.9838538;46.02911
SSP00027370101;Ancienne décharge de la Route de Kerboeuf;ROUTE DE KERBOEUF;22800;22386;22;53;LE VIEUX BOURG;-3.004048;48.386307
SSP41277370101;Dépôt minier Les Chaillats;;;63419;63;84;SERVANT;2.952683;46.154613
SSP00039030101;RAFFINERIE du MIDI - ANCIEN DEPOT PETROLIER;ROUTE DE LA GARE;83500;83126;83;93;LA SEYNE SUR MER;5.8755026;43.11482
SSP00054710301;Dépôt minier de Châteauneuf;;63440;63043;63;84;BLOT L'EGLISE;2.9117804;46.027546
SSP00038900101;BLANCHISSERIE RLD1;QUARTIER DE LA BAOU;83110;83123;83;93;SANARY SUR MER;5.817657;43.124325
